Freq,PN
44326.8292346009,-152.3289854595
45012.5206206134,-152.319940336
45708.8189614875,-152.3205988804
46415.8883361278,-152.3274871177
47133.8953615741,-152.3432379385
47863.0092322638,-152.3721573489
48603.4017599022,-152.3455310407
49355.2474139481,-152.3294844351
50118.7233627272,-152.3479252804
50894.0095151809,-152.2388961978
51681.2885632604,-152.0810170603
52480.7460249773,-151.992575255
53292.57028812,-151.9951285337
54116.9526546464,-152.0089434782
54954.0873857625,-152.0022245781
55804.1717476997,-151.9951315644
56667.4060581991,-151.9939595777
57543.9937337157,-151.9992476614
58434.1413373518,-152.0394459648
59338.0586275328,-152.0351793184
60255.9586074358,-152.049535325
61188.0575751822,-152.0669158407
62134.5751748076,-152.061053314
63095.7344480193,-152.0716049326
64071.7618867554,-152.0432970651
65062.8874865557,-152.0905656884
66069.3448007596,-152.0898998582
67091.3709955411,-152.0531151013
68129.2069057961,-152.0631068476
69183.0970918936,-152.0472699677
70253.2898973052,-152.0506586538
71340.0375071256,-152.0407036238
72443.596007499,-152.0283185966
73564.2254459641,-152.037795281
74702.1898927332,-152.0092758595
75857.7575029184,-151.9985324849
77031.2005797215,-151.9538564132
78222.7956386002,-151.9655395749
79432.8234724282,-151.9998663551
80661.5692176613,-152.0118239453
81909.3224215297,-152.0136683983
83176.3771102671,-152.019701923
84463.0318583969,-152.0031633365
85769.5898590894,-151.9843605936
87096.3589956081,-151.9918721668
88443.65191386,-152.0214155437
89811.7860960695,-152.0663215493
91201.083935591,-152.0528609836
92611.8728128794,-152.0549334746
94044.4851726352,-152.082582542
95499.2586021436,-152.1239868721
96976.5359108249,-152.1989536768
98476.6652110158,-152.2382839373
100000,-152.2881744049
101546.899243308,-152.3148886916
103117.727459306,-152.3163727221
104712.85480509,-152.3108758895
106332.657163716,-152.3024173624
107977.516232771,-152.3148802269
109647.819614319,-152.3264131001
111343.960906236,-152.3190624818
113066.339794964,-152.274220755
114815.362149688,-152.2135754557
116591.440117983,-152.1698314737
118394.99222293,-152.1505889572
120226.443461741,-152.1285810053
122086.225405907,-152.1031805255
123974.776302894,-152.0988195654
125892.541179417,-152.068103818
127839.971946302,-152.0681310894
129817.527504985,-152.0662362328
131825.673855641,-152.0535383932
133864.884206999,-152.0483514549
135935.639087853,-152.0280115285
138038.426460288,-152.0390459365
140173.741834677,-152.0314558814
142342.088386434,-152.0503356206
